,psize
1053,2.9999972025000003
1054,2.0013760900000004
1055,1.0
1056,1.9986325128999998
1057,1.0
1058,7.333318160099999
1059,7.333318160099999
1060,7.333318160099999
1061,9.5000184841
1062,9.5000184841
1063,5.591333159999999
1064,4.8173226256
1065,5.8173580864
1066,3.8173344399999998
1067,5.591333159999999
1068,3.5913282064000005
1069,3.182656
1070,4.5913347076
1071,1.0
1072,4.5913347076
1073,3.5913282064000005
1074,2.8173286801
1075,1.9999899240999999
1076,1.0
1077,1.9999899240999999
1078,1.9999899240999999
1079,1.0
1080,8.0433497664
1081,8.0433497664
1082,7.0433444449
1083,5.9133107929
1084,7.0433444449
1085,4.913315560000001
1086,2.9133027855999996
1087,5.000009044899999
1088,7.086723168100001
1089,4.0
1090,3.9133148041
1091,6.0866810944
1092,5.0866938369
1093,6.0000012600999995
1094,2.9999972025000003
1095,5.000009044899999
1096,4.0
1097,1.4999880676
1098,1.4999880676
1099,1.0
1100,1.0
1101,1.0
1102,3.2507729401000005
1103,4.339305609999999
1104,15.4099428025
1105,3.3393176644
1106,14.4099196816
1107,13.4098778025
1108,2.3393090703999997
1109,1.2507961921
1110,12.4099084729
1111,11.409938179600001
1112,10.4099150736
1113,5.4455956164
1114,4.4456035716
1115,2.2507800675999996
1116,4.554382810000001
1117,5.303624761600001
1118,6.999993062500001
1119,2.9999972025000003
1120,2.9999972025000003
1121,4.0
1122,1.0
1123,1.0
1124,1.0
1125,6.0000012600999995
1126,7.4999847321
1127,8.500023630400001
1128,6.5000012401000005
1129,8.4999653209
1130,7.5000395044
1131,5.000009044899999
1132,6.5000012401000005
1133,4.0
1134,5.499963040000001
1135,5.500009944099999
1136,1.9999899240999999
1137,3.5000048889
1138,4.499998542399999
1139,3.5000048889
1140,1.0
1141,2.9999972025000003
1142,5.000009044899999
1143,4.499998542399999
1144,1.9999899240999999
1145,1.9999899240999999
1146,1.0
1147,1.0
1148,2.1974801121000005
1149,20.8025385604
1150,19.802500000000002
1151,18.8025437161
1152,9.5000184841
1153,9.5000184841
1154,1.7719070768999998
1155,7.6140676096
1156,6.6141038041
1157,3.9999600000999997
1158,7.6140124225
1159,6.6140009329
1160,4.0000400001
1161,4.0000400001
1162,1.0
1163,2.9999972025000003
1164,2.9999972025000003
1165,2.9999972025000003
1166,4.0
1167,2.9999972025000003
1168,1.9999899240999999
1169,1.0
1170,1.0
1171,22.999985388899997
1172,22.000039776399998
1173,9.4973679684
1174,7.497355896899999
1175,8.4973999009
1176,11.502611402500001
1177,2.2587084099999997
1178,6.2439014884
1179,8.243904288400001
1180,7.243903102500001
1181,6.497401
1182,5.497383622500001
1183,5.243916801600001
1184,2.9999972025000003
1185,3.0000318436
1186,2.9999625616000003
1187,1.2587044864
1188,1.9999616399999998
1189,1.0
1190,2.0000464929
1191,1.9999899240999999
1192,1.0
1193,1.0
1194,7.158086211600001
1195,7.158086211600001
1196,6.683879502399999
1197,8.683865985599999
1198,8.3891908881
1199,7.6838731204
1200,3.9269367225
1201,2.9269392889000003
1202,7.0730466304
1203,7.389154890000001
1204,5.000009044899999
1205,4.0
1206,1.9999899240999999
1207,4.0
1208,2.9999972025000003
1209,2.9999972025000003
1210,2.9999972025000003
1211,4.0
1212,1.9999899240999999
1213,1.0
1214,1.9999899240999999
1215,1.0
1216,1.0
1217,7.999846559999999
1218,8.0001294025
1219,6.999993062500001
1220,8.0000162649
1221,6.9998872329
1222,5.8023656160999995
1223,5.925378324100001
1224,7.0000988929000005
1225,2.6794088721
1226,6.3952340544
1227,5.8023656160999995
1228,5.395214017600001
1229,4.6602879129
1230,4.320619532099999
1231,1.9999899240999999
1232,3.3205950625
1233,3.6794145124
1234,4.6602879129
1235,1.6794086464
